name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Archivist of Oghma",2,"Creature - Halfling Cleric",W,"clb","4",rare,White,Owned,Non-foil,mainboard,false,,,"","",99996,false,false,"Stella Spente"
"Monologue Tax",3,"Enchantment",W,"soc","157",rare,null,Owned,Non-foil,mainboard,false,,,"","",148783,false,false,"Justine Cruz"
"Flicker",2,"Sorcery",W,"uds","9",rare,null,Owned,Non-foil,mainboard,false,,,"","",12781,false,false,"Douglas Shuler"
"Valley Floodcaller",3,"Creature - Otter Wizard",U,"blb","79",rare,null,Owned,Non-foil,mainboard,false,,,"","",129403,false,false,"Victor Adame Minguez"
"Cloudshift",1,"Instant",W,"a25","7",common,null,Owned,Non-foil,mainboard,false,,,"","",66928,false,false,"Howard Lyon"
"Now You See Me . . .",1,"Instant",W,"unf","20",common,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Sam Hogg"
"Nuclear Fallout",2,"Sorcery",B,"pip","331",rare,null,Owned,Non-foil,mainboard,false,,,"","",131507,false,false,"James Bousema"
"Incubation Druid",2,"Creature - Elf Druid",G,"rna","131",rare,null,Owned,Non-foil,mainboard,false,,,"","",71262,false,false,"Daniel Ljunggren"
"Insatiable Avarice",1,"Sorcery",B,"otj","91",rare,null,Owned,Non-foil,mainboard,false,,,"","",124093,false,false,"Scott Murphy"
"Peri Brown",4,"Legendary Creature - Human",W,"who","26",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Wangjie Li"
"Galadriel's Dismissal",1,"Instant",W,"hoc","16",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",154546,false,false,"Rebecca Guay"
"The Mind Stone",2,"Legendary Artifact - Infinity Stone",W,"msh","21",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",152223,false,false,"Volkan Baǵa"
"Cathars' Crusade",5,"Enchantment",W,"inr","17",rare,null,Owned,Non-foil,mainboard,false,,,"","",135392,false,false,"Karl Kopinski"
"Mulldrifter",5,"Creature - Elemental",U,"2x2","60",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",101604,false,false,"Eric Fortune"
"Into the Flood Maw",1,"Instant",U,"blb","52",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",129349,false,false,"Danny Schwartz"
"Borne Upon a Wind",2,"Instant",U,"ltr","350",rare,null,Owned,Non-foil,mainboard,false,,,"","",111736,false,false,"Alexander Mokhov"
"Flash Photography",4,"Sorcery",U,"fic","463",rare,null,Proxied,Non-foil,mainboard,false,,,"","",-1,false,false,"Winona Nelson"
"Doctor Doom, Unrivaled",4,"Legendary Creature - Human Sorcerer Villain",B,"msc","654",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",151757,false,false,"Vilhelmas Banys"
"The Vision and Scarlet Witch",4,"Legendary Artifact Creature - Mutant Hero",R,"msc","707",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",151863,false,false,"Tyler Walpole"
"Gut Shot",1,"Instant",R,"mm2","117",common,null,Owned,Non-foil,mainboard,false,,,"","",57328,false,false,"Greg Staples"
"Strike It Rich",1,"Sorcery",R,"mh2","143",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",90663,false,false,"Volkan Baǵa"
"Hex Magic",3,"Sorcery - Arcane",R,"msh","133",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",152453,false,false,"Kevin Glint"
"Return the Past",6,"Enchantment",R,"who","92",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Irina Nordsol"
"Shang-Chi, Master of Kung Fu",2,"Legendary Creature - Human Warrior Hero",G,"msh","187",mythic,null,Owned,Non-foil,mainboard,false,,,"","",152561,false,false,"Lee Woo-chul"
"Mole Man, Moloid Master",3,"Legendary Creature - Human Villain",G,"msh","177",rare,null,Owned,Non-foil,mainboard,false,,,"","",152541,false,false,"Michele Giorgi"
"Undermountain Adventurer",4,"Creature - Giant Warrior",G,"clb","260",rare,null,Owned,Non-foil,mainboard,false,,,"","",100558,false,false,"Michal Ivan"
"Garruk Wildspeaker",4,"Legendary Planeswalker - Garruk",G,"lrw","213",rare,null,Owned,Non-foil,mainboard,false,,,"","",28453,false,false,"Aleksi Briclot"
"Mnemonic Betrayal",3,"Sorcery",BU,"grn","189",mythic,null,Owned,Non-foil,mainboard,false,,,"","",69751,false,false,"Clint Cearley"
"Prosper, Tome-Bound",4,"Legendary Creature - Tiefling Warlock",BR,"afc","2",mythic,null,Owned,Foil,mainboard,false,,,"","",-1,false,false,"Yongjae Choi"
"Vexing Shusher",2,"Creature - Goblin Shaman",GR,"2xm","225",rare,null,Owned,Non-foil,mainboard,false,,,"","",82484,false,false,"Cyril Van Der Haegen"
"Manamorphose",2,"Instant",GR,"2xm","208",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",82450,false,false,"Adam Paquette"
"Jennifer Walters",2,"Legendary Creature - Human Advisor Hero",W,"msh","18",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",152215,false,false,"Taurin Clarke"
"Stella Lee, Wild Card",3,"Legendary Creature - Human Rogue",RU,"otc","3",mythic,null,Owned,Non-foil,mainboard,false,,,"","",125225,false,false,"Fajareka Setiawan"
